[0916/200046.447:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0916/200739.324:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/205159.044:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/205223.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/205745.100:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/215635.648:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/215930.564:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/215932.947:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/215935.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/215935.579:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/215959.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/220002.596:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/220553.425:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/220618.239:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/220636.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/220725.688:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/221405.424:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/221409.039:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/221410.439:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/222937.250:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/222939.041:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
